obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Source
86.6800,86.6800,180,3.13e+08,1.06e-01,C+,0.0000,115366.866,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,1,3,,"T1355,T1618n",L2131,NIST
86.9754,86.9754,150,3.50e+07,1.19e-02,C,0.0000,114975.019,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,"T1355,T1618n,T1372",L2131,NIST
87.6058,87.6058,180r,2.70e+08,9.32e-02,C+,0.0000,114147.732,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,1,3,,"T1355,T1618n",L2131,NIST
87.9947,87.9947,180r,7.7e+07,2.7e-02,C,0.0000,113643.260,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,"T1355,T1618n,T1372",L2131,NIST
104.8220,104.8220,1000r,5.32e+08,2.629e-01,AA,0.0000,95399.8276,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,1,3,,T7574,L2131,NIST
106.6660,106.6660,500r,1.320e+08,6.75e-02,A+,0.0000,93750.5978,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,1,3,,T7574,L2131,NIST
,340.6180,,3.9e+05,2.3e-04,D,95399.8276,124749.805,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).7p,2[1/2],0,3,1,,T1086n,,NIST
346.107,346.1078,7,6.7e+04,2.0e-04,D,93750.5978,122635.054,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[3/2],2,3,5,,T1086n,L3512,NIST
355.4306,355.4305,7,2.7e+05,5.1e-04,D,93143.7600,121270.617,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).6p,2[3/2],2,5,5,,T1086n,L2634,NIST
,356.3286,,1.2e+05,6.9e-04,D,94553.6652,122609.637,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).6p,2[3/2],1,1,3,,T1086n,,NIST
,356.7656,,1.1e+05,2.9e-04,D,93143.7600,121165.367,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).6p,2[5/2],3,5,7,,T1086n,,NIST
,357.2295,,5.1e+05,3.3e-04,D,95399.8276,123385.044,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).7p,2[1/2],0,3,1,,T1086n,,NIST
360.6522,360.6522,7,7.6e+05,4.9e-04,D,93750.5978,121470.238,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],0,3,1,,T1086n,L2634,NIST
,363.2683,,6.6e+04,2.2e-04,D,93750.5978,121270.617,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[3/2],2,3,5,,T1086n,,NIST
,363.4460,,1.3e+05,2.6e-04,D,93750.5978,121257.161,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[3/2],1,3,3,,T1086n,,NIST
,364.3116,,2.4e+04,8.0e-05,D,93750.5978,121191.805,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[5/2],2,3,5,,T1086n,,NIST
,364.9832,,8.0e+05,5.3e-04,D,95399.8276,122790.547,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[1/2],0,3,1,,T1086n,,NIST
,365.9529,,4.4e+04,8.8e-05,D,93750.5978,121068.736,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],1,3,3,,T1086n,,NIST
,367.0670,,3.1e+04,1.0e-04,D,95399.8276,122635.054,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[3/2],2,3,5,,T1086n,,NIST
,367.5235,,4.9e+04,9.9e-05,D,95399.8276,122601.225,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[1/2],1,3,3,,T1086n,,NIST
377.0369,377.0369,20,7.0e+04,4.5e-04,D,94553.6652,121068.736,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<3/2>).6p,2[1/2],1,1,3,,T1086n,L2634,NIST
383.4679,383.4678,7,7.5e+05,5.5e-04,D,95399.8276,121470.238,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],0,3,1,,T1086n,L2634,NIST
,389.4660,,5.7e+04,1.3e-04,D,95399.8276,121068.736,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],1,3,3,,T1086n,,NIST
394.7505,394.7505,7,5.6e+04,1.31e-04,C+,93143.7600,118469.0508,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).5p,2[3/2],2,5,5,,T5223,L2634,NIST
394.8979,394.8979,35,4.6e+05,6.4e-04,B,93143.7600,118459.5975,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,5,3,,T5223,L2634,NIST
404.4418,404.4418,50,3.3e+05,1.36e-03,B,93750.5978,118469.0508,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[3/2],2,3,5,,T5223,L2634,NIST
,404.5965,,4.1e+04,1.01e-04,B,93750.5978,118459.5975,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,3,3,,T5223,,NIST
,405.4526,,2.7e+04,6.7e-05,C+,93750.5978,118407.4303,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[3/2],1,3,3,,T5223,,NIST
415.8590,415.8591,400,1.40e+06,3.6e-03,B,93143.7600,117183.5901,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[3/2],2,5,5,,T5223,L2634,NIST
416.4180,416.4180,50,2.9e+05,4.5e-04,B,93143.7600,117151.3264,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,5,3,,T5223,L2634,NIST
418.1884,418.1884,50,5.6e+05,4.4e-03,B,94553.6652,118459.5975,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,1,3,,T5223,L2634,NIST
419.0713,419.0713,100,2.80e+05,7.4e-04,B,93143.7600,116999.3259,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,5,5,,T5223,L2634,NIST
419.1029,419.1029,50,5.4e+05,4.3e-03,C+,94553.6652,118407.4303,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).5p,2[3/2],1,1,3,,T5223,L2634,NIST
419.8317,419.8317,200,2.57e+06,2.26e-03,B,93750.5978,117562.9553,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[1/2],0,3,1,,T5223,L2634,NIST
420.0674,420.0675,400,9.7e+05,3.6e-03,B+,93143.7600,116942.7542,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[5/2],3,5,7,,T5223,L2634,NIST
425.1185,425.1185,25,1.11e+05,1.8e-04,C+,93143.7600,116659.9934,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,5,3,,T5223,L2634,NIST
425.9362,425.9362,200,3.98e+06,3.61e-03,B+,95399.8276,118870.9170,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[1/2],0,3,1,,T5223,L2634,NIST
426.6286,426.6287,100,3.1e+05,1.42e-03,C+,93750.5978,117183.5901,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[3/2],2,3,5,,T5223,L2634,NIST
427.2169,427.2169,150,8.0e+05,2.18e-03,B,93750.5978,117151.3264,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,3,3,,T5223,L2634,NIST
430.0101,430.0101,100,3.77e+05,1.74e-03,B+,93750.5978,116999.3259,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,3,5,,T5223,L2634,NIST
433.3561,433.3561,100,5.7e+05,2.67e-03,B+,95399.8276,118469.0508,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[3/2],2,3,5,,T5223,L2634,NIST
